Name;Total kg CO2-eq/kg
Asparagus slices;1,46
Corn cob;0,49
Arugula salad, rinsed;0,48
Olive tapenade;3,12
Stuffed fresh pasta;2,14
Pepperoni;5,06
Kidney beans;1,05
Chicken, whole;2,22
Chorizo, sliced;6,07
Potato salad;1,18
Cider 4.5%;1,10
Falafel, frost;1,72
Potato hotchpotch, beef, ready meals;13,21
Potato hotchpotch, mixed meat, ready meals;9,42
Vegetable steaks;1,25
Spring rolls, vegetables, ready meals;1,99
Spring rolls, chicken, ready meals;2,24
Spring rolls, beef, ready meals;4,14
Meatballs in curry with rice and curry sauce, ready meals;1,94
Leek pie with bacon, ready meals;1,46
Croque monsieur, ready meals;1,87
Capers;1,39
Baby corn;0,61
Black beans;1,05
Half peaches in juice;1,70
Marinated artichokes;3,38
Cornichons;1,58
Garlic in oil;2,79
Half pears in juice;1,04
Marinated grilled peppers;2,89
Tahin, sesame paste;4,08
Sundried tomatoes;1,95
Red lentils, dried;1,78
Ajvar, relish;2,49
Vegan bean paste;1,72
Plant paste, pea protein and mushroom;0,78
Chilli cheese tops;1,87
Mozarella sticks;2,92
Chili con carne, ready meals;21,07
Vegan balls, soy based;0,86
Vegan schnitzels, soy based;1,78
Vegan burgers, soy based;0,85
Vegan minced, pea based;0,61
Vegan sausages, soy based;1,63
Vegan nuggets, soy based;2,05
Vegan pulled beans;2,21
Pulled pork;3,68
Pulled beef;38,22
Vegan chorizo;1,84
Rice noodles;1,41
Jalapenos;1,54
Taco shells;1,81
Mango chutney;2,90
Green curry paste;1,97
Noodles, eggs;1,15
Rice pancakes;1,84
Vegan ice cream, oats;1,53
Vegan mayo;3,07
Mushroom burger;1,47
Vegan cold cuts;2,34
Vegan block;0,97
Magarine;2,93
Vegan bacon;0,25
Vegan fillet pieces;2,04
Falafel mince;1,68
Pea drink;0,48
Portobello mushroom;0,36
Food grain, kamut;1,15
Chili Sauce;1,82
Red onion;0,90
Basil, fresh;0,30
Basil, dried;4,44
Cold buttermilk soup;0,97
Beef, low fat ;35,86
Grilled sausages;1,81
Apple juice;1,64
Minced lamb;26,30
Burger buns;0,74
Blue cheese;2,92
Goat cheese;2,92
Vegan cheese, grated or sliced;1,00
Samosa, vegetarian frost;1,17
Cold chocolate;5,18
Nutella, nut cream;3,97
Smoothie, strawberry blueberry;2,16
